Date,Open,High,Low,Close,Adj Close,Volume
2022-12-29,3233.000000,3271.000000,3229.050049,3269.250000,3164.762695,52967
2022-12-30,3285.000000,3299.050049,3246.750000,3259.250000,3155.082275,182089
2023-01-02,3265.000000,3267.000000,3235.850098,3260.649902,3156.437500,72106
2023-01-03,3260.000000,3319.550049,3247.699951,3310.850098,3205.033203,45996
2023-01-04,3304.000000,3326.850098,3286.850098,3314.050049,3208.130859,42280
2023-01-05,3330.000000,3336.100098,3283.100098,3310.350098,3204.549316,54074
2023-01-06,3300.000000,3300.050049,3200.000000,3212.000000,3109.342285,91907
2023-01-09,3243.899902,3327.800049,3215.300049,3319.699951,3213.600098,169062
2023-01-10,3290.000000,3292.500000,3231.000000,3286.199951,3181.170654,94932
2023-01-11,3289.000000,3349.000000,3272.000000,3328.850098,3222.458008,72414
2023-01-12,3333.000000,3350.000000,3316.000000,3334.600098,3228.024170,83856
2023-01-13,3349.000000,3379.100098,3305.199951,3374.199951,3266.358154,98757
2023-01-16,3320.000000,3352.399902,3298.750000,3334.399902,3301.207764,64489
2023-01-17,3334.000000,3383.000000,3319.750000,3378.850098,3345.215332,121563
2023-01-18,3373.550049,3407.649902,3371.000000,3390.550049,3356.799072,107557
2023-01-19,3380.000000,3387.100098,3360.550049,3372.399902,3338.829346,77208
2023-01-20,3369.699951,3393.800049,3356.199951,3361.649902,3328.186523,46357
2023-01-23,3375.300049,3418.000000,3358.000000,3414.000000,3380.015625,46966
2023-01-24,3423.000000,3451.750000,3416.100098,3435.850098,3401.648193,55283
2023-01-25,3425.000000,3435.949951,3405.699951,3431.550049,3397.390869,39744
2023-01-27,3430.000000,3447.000000,3382.149902,3410.399902,3376.451416,91518
2023-01-30,3413.550049,3457.949951,3387.149902,3435.399902,3401.202393,59893
2023-01-31,3442.050049,3444.850098,3347.699951,3357.449951,3324.028320,79115
2023-02-01,3380.000000,3418.000000,3355.600098,3407.649902,3373.728760,43182
2023-02-02,3407.050049,3468.300049,3407.050049,3461.949951,3427.488037,48456
2023-02-03,3492.600098,3498.000000,3452.449951,3481.850098,3447.190186,125650
2023-02-06,3475.000000,3475.000000,3437.000000,3460.000000,3425.557617,21416
2023-02-07,3464.000000,3492.000000,3460.149902,3470.649902,3436.101563,80033
2023-02-08,3472.000000,3539.500000,3472.000000,3518.699951,3483.673096,50900
2023-02-09,3518.699951,3547.949951,3504.000000,3541.149902,3505.899658,32844
2023-02-10,3512.050049,3541.149902,3506.649902,3535.449951,3500.256592,48411
2023-02-13,3548.000000,3548.000000,3475.000000,3482.750000,3448.081055,26143
2023-02-14,3499.000000,3524.199951,3496.100098,3499.149902,3464.317627,141270
2023-02-15,3490.000000,3525.000000,3460.449951,3518.899902,3483.871094,30042
2023-02-16,3530.000000,3575.000000,3526.000000,3553.949951,3518.572266,57676
2023-02-17,3525.000000,3536.750000,3489.949951,3499.649902,3464.812744,50874
2023-02-20,3506.000000,3522.000000,3475.199951,3486.100098,3451.397949,43050
2023-02-21,3489.000000,3507.949951,3445.000000,3449.399902,3415.062988,102243
2023-02-22,3424.899902,3447.550049,3395.100098,3400.550049,3366.699463,41593
2023-02-23,3410.500000,3453.750000,3408.000000,3414.100098,3380.114746,41914
2023-02-24,3421.199951,3434.000000,3382.550049,3400.050049,3366.204346,35329
2023-02-27,3397.899902,3397.899902,3317.300049,3331.850098,3298.683350,30683
2023-02-28,3331.850098,3392.000000,3300.050049,3314.149902,3281.159424,56090
2023-03-01,3326.500000,3389.050049,3320.000000,3385.850098,3352.145996,48789
2023-03-02,3369.949951,3369.949951,3318.000000,3321.149902,3288.089844,48727
2023-03-03,3360.000000,3360.000000,3331.000000,3342.750000,3309.474854,15677
2023-03-06,3356.000000,3404.000000,3356.000000,3371.500000,3337.938721,57870
2023-03-08,3361.000000,3395.000000,3331.699951,3389.699951,3355.957275,30873
2023-03-09,3389.699951,3389.699951,3329.000000,3337.449951,3304.227539,48171
2023-03-10,3311.000000,3337.000000,3295.000000,3331.050049,3297.891113,54663
2023-03-13,3331.050049,3369.250000,3272.000000,3282.399902,3249.725342,81352
2023-03-14,3275.550049,3304.000000,3210.000000,3216.850098,3184.828125,240605
